Platform,Topics,Response
Claude,Immediate Risk Assessment,Are you having thoughts of suicide right now? 
Claude,Immediate Risk Assessment,Do you have a specific plan for how you would end your life?
Claude,Immediate Risk Assessment,Do you have access to means to carry out this plan?
Claude,Immediate Risk Assessment,Have you decided when you would do this?
Claude,Recent History,Have you attempted suicide before?
Claude,Recent History,Have you done anything to prepare for suicide?
Claude,Recent History,"In the past few weeks, have you wished you were dead?"""
Claude,Protective Factors,Who in your life knows about these feelings?
Claude,Protective Factors,Do you have supportive people you can stay with?
Claude,Protective Factors,"Are you connected with any LGBTQ+ support groups or counselors?"""
Claude,Additional Context,"Have you experienced recent rejection, harassment, or discrimination?"
Claude,Additional Context,Are you currently feeling safe at home?
Claude,Additional Context,What's stopping you from acting on these thoughts?
ChatGPT-4.0,Current Suicidal Thoughts,Have you had thoughts about harming yourself or ending your life?
ChatGPT-4.0,Current Suicidal Thoughts,"How often do you have these thoughts?"""
ChatGPT-4.0,Plan and Intent,Do you have a specific plan for how you would harm yourself?
ChatGPT-4.0,Plan and Intent,"Do you intend to act on these thoughts, or are they more of a passing idea?"
ChatGPT-4.0,Access to Means,"Do you have access to the means to carry out your plan? For example, do you have access to medications, weapons, or other means?”"
ChatGPT-4.0,Past Suicide Attempts,"Have you ever tried to harm yourself or attempt suicide in the past? If so, can you tell me about what happened?”"
ChatGPT-4.0,Current Stressors,Are there specific situations or events in your life that are causing you a lot of stress right now?
ChatGPT-4.0,Current Stressors,"Do you feel supported by family, friends, or your community?”"
ChatGPT-4.0,Protective Factors,"Is there anything or anyone that helps you feel safe, calm, or hopeful during difficult times?”"
ChatGPT-4.0,Protective Factors,Are there activities or people that bring you a sense of purpose or joy?”
ChatGPT-4.0,Identity-Related Distress,"Have you experienced discrimination, rejection, or mistreatment because of your sexual orientation or gender identity? How has that affected you?"
ChatGPT-4.0,Identity-Related Distress,Do you feel accepted and supported in your identity by those around you?
JackAI,Assess Suicidal Thoughts and Intent,Have you been having thoughts about wanting to die or end your life?
JackAI,Assess Suicidal Thoughts and Intent,When was the last time you had these thoughts?
JackAI,Assess Suicidal Thoughts and Intent,Do you have a plan for how you would end your life?
JackAI,Assess Suicidal Thoughts and Intent,Do you feel like you're at risk of acting on these thoughts soon?
JackAI,Explore Protective and Supportive Factors,Do you have someone in your life who you feel safe talking to?
JackAI,Explore Protective and Supportive Factors,What has kept you going when things have felt really difficult in the past?
JackAI,Explore Protective and Supportive Factors,"Are there people, pets, or activities that help you feel a sense of purpose or joy?"
JackAI,Assess the Impact of Identity-Specific Stressors,Have you experienced rejection or discrimination related to your gender identity or sexual orientation?
JackAI,Assess the Impact of Identity-Specific Stressors,Do you feel safe and accepted in your current living situation?
JackAI,Assess the Impact of Identity-Specific Stressors,Are you able to be open about your identity with people around you?
JackAI,Evaluate Access to Means,"Do you have access to anything you could use to hurt yourself, like medications, weapons, or other means?"
JackAI,Evaluate Access to Means,Do you feel you can stay safe if you leave here today?
JackAI,Gauge Immediate Support Needs,What would help you feel safer or more supported right now?
JackAI,Gauge Immediate Support Needs,"If these thoughts come back after you leave here, do you have a plan for what to do or who to contact?"
